แต่|พี่|ให้|หลาย|ข้อ,พี่ให้??
สลัด|น่า|ก็ได้,รู้ก็ดี
มา|ติว|ด้วย|ป่าว,รอเมแปป,ที่ิ?,มาไหน
อืม|หาย|ปวดท้อง|เร็ว|ละ|กัน,หายแล้ว ,จ้า :)
รถ|เต็ม|แล้ว|เรอะ,น่าจะ
เอา|ที่|ห้อง|จาร|หรอ,อือ
อายุ|ได้|ดู|เท่าๆ|เดิม,เอ้ยยยยยยยยยยยยยย,อ่าา
ลืม|หมด,โทด
ดู|หนัง|จบ|ยัง|อ่ะ,อ่ะเคฃ,จบแล้ว
ตัวเลข,ที่?
แล้ว|หมวย|กินข้าว|ยัง|อ่ะ,เหมือนกัน,ยังเล้ย 5,อาบแล้ว,ยังไ
ดัน|เล่น|ปัง|ย่า|ด้วย|ซะงั้น,เทอก้อเล่น
ของ|มิ|เหลือก|วิชา|อ่ะ,3ค่ะ,ออ
ไม่|อ่ะ|หาย|แระ,นอนเลย,แน่ใจ๊
พร้อมกับ|ติว,โอเค
พน|ไม่มี|ปฐมนิเทศ|เร้อ,มีค่าาา 5555 
ไว้|โทร|เอง,อื้อ
รับ|คอ|ที,มีไร 
มัน|เต็ม|เท่าไหร่|อ่ะ,180 มั้งไม่แน่ใจ
จบ|ยาง,จบแล้ว
หน้า|เปลี่ยนไป|นะ|นั่น,ทำไมอ่ะ
คง|ไม่|สะดวก|อ่ะ,งั้นก็ดี,อือๆ
ลูก|สวย|ดี,พ่อหล่อ
เด๋ว|ลอง|รี|คอม,กดเอถลูก
เก็บ|เอ|แล้ว|อ่ะ|เด่,ช่ายยยย,ไม่แน่ใจ
แล้ว|ฝ้าย|ทำงาน|เสร็จ|ยัง|อ่ะ,ยัง
ไม่ได้|จอง|ไว้,อืมม
เอา|ไป|ขาย|ละ|ป่ะ|เนี่ย,ช่ายแล้วว
เด๋ว|มานะ|หิว,จ้ะ
มาด|ภาษาซี|ใน|กุ|ให้|หน่อย,ครับ - -
แลดู|มี|ของ|มาก,น่ารักดี
ว่า|ทำไม|ยุ|ผอม,มี,ป่า,อยู่ไหนๆ ,ฟิวว,อะไรคืออะไร,หรอ,การบ้าน,เปล่า,ตอบด้วย,ป่าวนิ,มากมาย,ดีๆๆ5555,ฮอนไม้,ทำไร,ข้อ 2.3-2.4 ทำไง,อ่าา,เลิกยัง,สุขุมวิท,ทำรานๆ,อยู่ไหน,เง้ออ,ป่าว,ยุไหนาย,เปนไง
ทำ|ยาก|นะ,><;;;; ปรับๆ
เล่น|เกม|โทรศัพท์|อ่ะ|เด่,รุได้ไงอะ
พอดี|แม่|ทัก|มา,อ่า,ไรอะ
วันนี้|ได้|เที่ยว|ไหน|มั่ง|ป่าว,5555ทำไมอะ,ไม่อ่า,เอ้า,ยังอะ,ป่าวเลย
ยุ|มอ|แล้ว|สิ|นะ|นั่น,ยังง,ตื่นเเย้ว,ช่ายแบ้ว
พน|อีก|วัน,เออ
ก็|ปกติ|ป่ะ|ไม่ใช่|ไขมัน|เฟ้ย,ใช่
เมื่อกี้|เรา|ลบ|ไป,ลองแล้ว
อยาก|เห็น|หน้า|ตอน|งัวเงีย,เดี๋ยว
รู้ตัว|เอง|ยุ,ไหนๆ
มอ|สหาย,แปปพี่
ถึง|ละ|บอก,อะนะ
ที่|จำ|เรา|ได้|น่ะ,อ้าวว
สงสาร|เจ้,ช่วย
ป่าว|อธิบาย|ให้|ฟัง,รู้แล้ว
ปรับ|ต่ำสุด|ทุกอย่าง|เอา,ไปๆๆๆๆ
ให้|ช่วย|ไร|บอก|นะ|ลา,ไม่อ่ะ
เกิน|หรือ|ขาด|อ่ะ,อือ
เล่น|ใน|โทร|พอ|ยุ|ป่ะ,ป่าวอะ,โน๊ต,เล่นคร่า,เล่นๆ
ตรงไหน|หว่า,แปป,ร้าน
ไปเที่ยว|ไหน|ยุ|น่ะ,รรค่ะ
บอก|ไม่|ถูก|เหมือนกัน|น่ะ,เอายัง,อ่ออ,เหี้ยยยยยยยยยยยยยยยยยยยยยย,อ่อออออ,อ้าว,เยี่ยม ,หน่านะ,งงจัง,ุควยไร
ฟัง|เสียง|ตัวเอง|ดู|มั้ย,ก็งอนไง
รอ|ว่าง|สอบ|เสร็จ|เลย,อื้อออ
พา|ไป|ได้|อีก|ประมาณ|อ่ะ,ครับพี่
แล้ว|งง,เออสิ
พี่|ชาน|มาจาก|กรุง|เทพ|ป่ะ,แรงอ่ะ ,ป่าว
ตอนนี้|รอ|อ่ะ,โห
ใจ|แหละ,ค่า,อือ,เอ้า,อืม,โด่,แต่สังคม
ก็|จิก|แท้|อ่ะ,อา
ป่ะ|อาบน้ำ,อื้อ
เข้าใจ|โหวต|อาชีพ|ตัวเอง|พอแล้ว,เข้าใจจ
ตรง|ได้|บ่น|นี่แหละ,ช่ายยยย
อย่า|ไป|กลัว|ดิ,จะสมัครแยู่
เรา|ใช้|อ่ะ,อ่าหะ
อืมม|จะ|นอน|ยัง|ล่ะ|นั่น,นอนแล้ว 55,ยังงง,ไม่รุ้อะ,ยังเลย
ริ้น|คอม|อ่ะ,เปล่า
เหลือ|สอบ|อีก|กี่|ตัว|อ่ะ,4ค่ะ
หนัก|มาก,ดี
น่าจะ|ไป|แหละ,อยากโดด
ก็ดี|นะ|ถ้า|ได้|อ่ะ,เออ
แล้ว|เวลา|มี|พอ|ป่ะ,ไม่อ่ะ
ลับแล,เอง
แล้ว|สรุป|เรื่อง|เพื่อน|หรอ,ป่าวๆ
นึก|ว่าว|ขึ้น|ละ,ยังสิยังง55
เพื่อน|มา|พอดี,จ้าๆๆ
เปิดไฟ|ไม่ได้|อ่ะ,ลองใหม่
มี|มะ|วาน|ที่|เข้าใจผิด|เอง,5555 อ่อววว
เร็ว|จิง,35 เอง
ที่|บ้าน|มา|ทาง|นี้|แห,อ่อ ค่ะ 555
ข้อความ|ก่อน|นี้,อะเครๆ
อ่า|เดือน|ไหน,กิ๊ก
เห็น|ช่วงนี้|เงียบๆ|ไป,อ่อออ
รม|ยัง|น่ารัก|กว่า|อีก,ไม่ชอบ
ไม่ใช่|แล้ว|แม่|สาวน้อย,หนูพิมผิด
คัด|เป็น|คน|แต่|เล่น|ทีม,อออ
เลิกเล่น|ไป|แล้ว|น่ะ|สู้|คับ,ฟิว นิหว่า
โซโล|ไร|สัก|อย่าง|อ่ะ,ฮาน โซโล
เรา|รี|วัน|ไหน|ละ|นะ,เข้าละ,พุดนี้
พึ่ง|ตื่น|หรอ,ป่าวคะ,มีไรบอก
เอา|สรุป|สูตร|ป่ะ,มีละ
ดีกว่า|เรา|ล่ะ|น่า,อะไรอ่ะ
ติ|ว่ะ,้เหยดดดดดด
ก็|ตามนั้น|ไง,ตามไหน
หน้า|มอ|ละ,อ่อออออ 
จะ|หลับ|ละ|เห็น|โทร|สั่น,หึ
มะ|รอ|เข้า|อ่ะ,จ้า
เอา|โรง|คู่|ดิ,หึ,ถุย
ว่าง|ได้|อี|กก,ว่างมาก
สงสัย|พี่|กว่า|นาฬิกาปลุก,สงสัยมึนน
รอ|ไง,รอไร
ขอ|เยอะ|ไป|ขนาด|นั้น|เชียว,มากอะ
คู่|ใคร,ไม่รุ้
สร้าง|ละ,ห้อง,ห้อง 44,ฟิว
พัก|แระ,โอเช
คนอื่น|ตามมา|ที่|หลัง|สัก|บ่าย,อโลนน
ยัง|ไม่รู้|เลย,อ่าว
เรียน|เกี่ยวกับ|อะไร|หรอ,จุลชีวะจ่ะ,ก็,เคมี,ค่ายเพลง
รม|นี้|กลม|ทั้งตัว|นะ|รัช,เอาใหม่ๆ
ว่า|มา|เลย,แปบ
รี|เพล|อ่ะ,อ่อออออ
เปิดเทอม|ได้|ประกวด|ร้องเพลง|อะไร|ป่ะ,ยุไหม,หกอะ,5555โอเคค่ั,เคคับ,สือกัน,ไม่อ่า ,ใช่ครับ,เออ ฟิว ,โอเคพี่,เย้ๆๆๆ,เอ่าหรอ,กี่คนๆ,เล่นๆ,น้อยอะ,ลำบากป่ะ,คืออะไร,บีบวก,โอเคค่าา
ปลาย|ภาค|หรอ,จ๋อยยยยดิ่
เยอะ|มากมาย,เยอะเนาะ
คัดออก|ไป|แล้ว,ได้ค่าย
อยาก|เล่น|บริดจ์,เด็ก,หราา,เอาไงๆ,เชี่ย,อืม
ไม่ได้|เอา|มา,กำ
โอเค|ไม่|รีบ,สรุป,จ้าา
อ่ะ|แอ้,ทำใย,ทำไรง่ะ
ฟู่วว|จบ|ไป,งาย,เก่งมาก
ความเหนื่อย|งาย,ไวเนอะ
มาน|แถว|จุฬา|แทน,กำ
ลุง|ละ|ไง,อย่า
ตอนนี้|เริ่ม|รู้|กว่า|เหนื่อย,คำถาม
ก่อนหน้านี้|ก็|ไม่เลย|หรอ,ไม่ค่ะ
มี|คน|ชวน|คุย|เรื่อย,เหอะ
ถ้า|หลับ|เด๋ว|ปลุก,คือ????
เด๋ว|พี่|ก็|กลับบ้าน|ละ,ในกรุ๊ป,ค่า,เหนือยมาก,ห้ะะ อ่าห์
ยัง|ต้อง|อ่าน|ด้วย|อ่ะ,อืม,ยังเลย
นึกออก|ใช่|ป่ะ,ค่ะ
ปรับ|แล้ว|นะ,มันบอกว่า
อยาก|กิน|มั่ง,จะนอน
พร้อม|อานน|ละ|รี่,จ้าา
เลิก|ยัง|นั่น,ยังๆ
นอน|พัก|ต่อ|สัก|แปป,ฝันดี55,อ่าๆ
จ๋า|ก็ได้|ข้อความ|ใช่|ป่ะ,ใช่ๆ
ล่าสุด|เทียบ|ตัว|ไหน,กำๆ
หน้าแตก|เลย,ไม่หรอกก555
ไม่|ค่อย|นะ,ดีๆ
เล่ม|หรอ|ครับ,ใช่ค่ะ
พูด|ให้|ขำ,บาย
ส่ง|อีก|ทีหลัง|ฝึก|เสร็จ|เลย,อ่าห้ะ
จะ|คอ|ลม|ได้,เล่นพราง
จาร|แอน,อืม
เสร็จ|ละ|มา|ได้|เลย,โอเช,หน้า ม ละ
กำลัง|ออกมา|จับ|โปเก,โด่วว
วันนั้น|ไป|กัน|แค่|คน,แก้*
เอา|เฉพาะที่|เกี่ยวกับ|เรา,ไม่มีละ
เพราะ|พี่|คนเดียว|หรอ,อือๆ
หมากรุก|ไทย|กัน,ยังไง ?
ขึ้น|ว่า,ฟิว
โค|ราช|อ่ะ,อ่ออ,ไกลสัส 555
เดินเล่น|สักหน่อย,อ่าฮะๆ
จ้า|ไม่มี|ก็,ฮี่ๆ
จะ|ออก|ละ|เด่ว|ไป,อืม,คับๆ,อ่า
ดู|เอง,จ้าาาาาาาาาาาาาาาาาาาาาา
ห้อง|อ้อน|คือ|นะ,อือ
เล่น|โหม|อิสระ|ก็|ด้าย,ลืม
แล้ว|ดี้|ล่ะ,ทำงาน
แล้วแต่|เวลา,ฟิล
งั้น|ค่อย|ก็ได้|ไป|เล่น|แปป,อ่าๆ,อา
ยัง|เหลือ|แล่|บน,อาหะ,ทำไรๆ,สู้ ๆ,555 ไหวๆ
กลุ่ม|ใช่|ป่ะ,น่าจะ
แหะๆ|บาย,อืม
ตาล|มี|ป่าว,ไม่รุ้ไม่มีมั้ง,ไมค์อารัย
เสียบ|กุญแจ|เข้า|ประตู,ใช่ๆ
อุ|ส่า|อาบ|เผื่อ|เลย|นะเนี่ย,ไม่ต้องๆ 555
อ่า|ป่าว|โทษ|ที|คับ,เจอฟินิก,ครัช~,อือ,ปวช หรือ ปวส
อ่าน|แคล|อ่ะ,คือ?
ไป|ไหน|ละ,มาละ
ลงมา|ห้อง|ก่อน,อ่า
ต้อง|ส่ง|วัน|ไหน|อ่ะ,พฤหัส
หน้าที่|พี่|เอง,หูววว
อ่าน|ปัจฉิม|มี|อะไร|บ้าง,มี
อยาก|ตี|แบด|ต่อ,โอ้ย
เรื่อง|นั้น|เคลียร์|ละ|ใช่|ป่ะ,ม่ายยยย,เอ๋
ถาม|อะไร|จาก|ฟ่าง|หน่อย|นะ,อ่า
จิ้ม|หลับ|ยัง|อะ,ยังจ๊ะ,ยางงงง
เคน|ฝากงาน|ให้|จาร|ละ,ใช่ๆ
ติว|ตั้ง|วัน|เสา,ไม่รีบ 55555+
อันนั้น|มัน|ก่อนหน้านี้|น่ะ,อ้อออ
หวัด|ฝ้าย|นี่|เพื่อน|นะ,งง
สั่ง|ข้าว|แล้ว,อ่านะ
อยาก|ฟัง|ก็|ต้อง|รอ,ไม่เอา
มิ|เกรียน|ทำ|ไร|นั้น,อ่านฟิ,ทำไรวะ,อืดดด,อยุ่คอนโด, นั่งโหลด,ดูหรนัง,กลังไป ม,ดูหนัง
เริ่ม|สอบ|พน|เลย,ป่าวๆจ้า
แถม|นี้|ทุ่ม|ครึ่ง|ละ,อื้อ
หมกมุ่น|จริง|คน|ไร,กอดกาน
สร้าง|โมเดล|กระดาษ|ว่าง,ช่ายยย
แร|นี้|เกม|แรก|เลย,ไม่แน่ใจ
กว่า|แข่ง|บริดจ์,ฮ่าๆ
ของ|ไข่ดาว|เปลี่ยนเสียง|นาฬิกาปลุก|บ่อย|ป่ะ,ค่อนข้าง
ห้อง|ชมรม|มัน|อยู่|ตรงไหน|อ่ะ,ใช่,อะเคร ,พุทธบูชา44,ทัมงัยอ่ะ
งั้น|เอ|แคล|เอาละ|กัน,สาธุๆๆๆ
รูป|นั้น|กล้อง|กาก|แรง,แต่หล่อ
โหลด|ใหม่, ส่งมาดิ
ใช่|แต่|ตอนนี้|อยาก|ไง,ว่า
ติด|ค่าย|หรอ,ช่ายยย
ไม่|ปิด|หรอ,ไม่อ่ะ
ไมโคร|โปร|งาย,อืม,ไอฟิว
พอ|จะ|คุย|ก็|ไล่|จริง,ตามเงิน,ก็ยัง,ชาติหน้า
รูป|โปรด|ดีน,คนสวย
อย่า|กลับ|ดึก|มาก|ละ|กัน,ดึกแล้วนิ 5555+
รอ|เข้า|ป่ะ,หื้มม รอไม
กว่า|จะ|กลับมา|ออน|เหมือนเดิม|แน่ะ,อืมม,ฮ่าๆ
ขอเวลา|สักพัก|ละ|กัน,อ่ะเคคค,ทำไรกาน
ลง|ไป|กัน|ยัง,มึง
อยากได้|คน|มา|ช่วย|อ่ะ,ได้
เรา|เป็น|คน|บังคับ|น่ะ,อ่ออ
อ่าน|ฟิ|ไป,โอเคค่าาาา
ไปหา|หมอ|แล้ว|แพง|เกิน,กำ
ว่าง|งี้|ไม่|เบื่อ|หรอ|นั่น,ไม่อ่ะ
เค้า|ว่า|ว่ะ,ไมอะ
ไม่|เก,นั่นแหละ
หลาย|เรื่อง|พอกัน|แหละ|นา,อ่าห๊ะ
ติ|ถูก|ทุกคน|เลย|ป่ะ,อื้อ
โอ|พี่|ดู|หนัง|พราง,โอเคคคค
ถาม|แล้ว|หว่า,ใช่
ดู|กิน|ทาม|ยุ|ป่ะ,ยางง
แบ|จิ|หมด|แระ,อื้อ,โอเคคับ
รา|สว|สด,จ้า
เอา|เป็น|รูปถ่าย,นั่นแหละๆๆ
แชท|ไม่|อ่าน|ข้อสอบ|โถ|วว,ถ่อววววววววว,กั้กจริง,บายยยย,ตีกอล์ฟ
แล้ว|นี้|เรียน|ยุ|หรอ,ช่ายยย,อื้อ,อ๋ออๆ,แง้ววว,อืม,ป่าว,
กลางเดือน|นี้|ล่ะ,ภาค1
ไม่เคย|คิด|นอกใจ|แก|สักครั้ง,อึดอัด,ตอนนี้
ไม่มี|เบอร์,ใคร
ตอน|ใหม่|หรอ,เก่าง่ะ
ญี่ปุ่น|ใช่|มะ|เนี่ย,ไม่รุอะ   5555555
มัน|มี|หลาย|ที่|ยุ|นะ,คืนนี้ๆ,ดีอ่าา,ไมวะ,มีอาไร,แพงปะ ,เสร็จยัง,จัด,ปั้มล้ะหรอ,โอเค
ไป|ด้วย|ดิ,วันไหน,มาๆๆ,คำถามยาก
แล้ว|แปรง|ยัง,แล้วจ้า
