1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ตื่นยัง,คร้าๆ,ฝันดี!!,แหะๆ,คิคิ,มาา,โทมาใหม่,ถูกกหหห,5.55556E+11,อ๋อ~,ง่วงอะ,ทุกกกคน,ไปๆ,แนลไหน,นอนเถอะ,เกินไปๆ,อืม,ก้ดี,22 ป้ะ,อ่านสืแก่อน,ได้แล้ว,หึ,แต้งๆ,ไปล่ะนะ,อือออ,นานแท้,อยุ่ไหร,ค้าบ,55555555555,ไม่เอา 555,ฟิวส์,คูนดิ,ไมรึ? ,พี่ฟิววว,อย่างแรง,เซง เป้ด,ไง,กุกลังงง,หรอคะะ,ทำไม,กี่ผดมง,ตามนั้น,ฟิวๆ,บอก,ททท,5555 น้องฟิวละ,ทำงานอีก,เข้าใจๆๆ,เมขาบริจอ่อ,,แค่บอก,ตลกกก,ไปแระนะ,จะมารึไง,ทุกปี555555,ก็รู้ป้ะ,ไม่ๆๆ,เอ้ยยย,พี่ฟิวววว,คนซ้ายยย,อ่าว,ไม่.,อะเครร,เวลไรละ,เตมอะ,เล่นป่ะ,,แหม๋,ฝนตก,,อื้อ,ซาโยนาระ,ไงน้อง,ที่ไหน,เล่นคอม,คนครบยัง,มาก,กิพ่อง,โหยาก,อยากมี55,งืม,ประมาน 2-3ร้อย,เครียดด,โอเค๊,แหง่ะ,เอ้อ,2,เฮ้  - -,ไปละนะ,*กินข้าวๆ,ด,ตอนนี้?,รีบทำ,กุนึกว่า,งก,เยอะ,ค่าาาา,มั่นหน้า,วันเดียว,...,0=&#123;&#125;,อะไรร,เดี๋ยวๆ,,อ่อๆ,-...-,งิ,รก,เป็นไง,ไม่เปนรอ,ว่าแล้ว,ชิ,เอาดีๆ,หนุกป่ะ,ไปล้ะๆ บะบุยๆ,ทำไย,เปนไรอะ5555,ไมโคร,ยากอ่ะ,จ้ะ,นายยย,ตามเข้า,เกรียน,สอบเปนไง,กลับเย็นๆ,เอ้ย,ไปทัมงาน ล้ววว,แปบ,จิงๆ,ไอเฟส กับ ไอเมสอะ,เจอกันๆ,-0-?,คับผม,รู้จักๆ,ป่าวๆ,อยู่ไหนน ,-0-?!?!?!?!?!?!?,อาไร,โหดสาส,ไปสิ,คยัง,พักนึง,55,งืมมมม,มาและ,ไม่ได้วะ,ตื่น 7 โมง ,ฮ้าๆ,ไปอาบน้ำไป,เห้ยย,อื้อหือ,ไม่ไหววะ,ฮิๆๆๆ,ทำไรรร,อะำร,555555555555+,*ไป,ใช่ป่ะๆ,-0-?!?!?!?!,ครับผม,หิวอ่า,พี่,มืงนอนไหน,555 ไม่เปนไร,จามาหราาาาาา,เอาดิๆๆ,-..-,ม่ายยยย,เจ๋งอะ,ใครอก,ไม่ได้ชะ?,ชิชิ,้ล่นโคตรโหด,^3^,เดิยทา,อ้วนนนนนนนน,ผิดคน,,ทำงานๆๆๆ,ตัวเอง,เค จะถึงละ,กด,สมัครไมอะ,พี่อะ,มาๆๆๆ,:3 ,เปนงมั่ง,ถามดีๆปะ,ไม่เกิน400,เล่นอะไร,จอยละ,เข้าละ,เอ้า,ติดต่อ,เนตช้าสกิล 1 .ช้ยากสัส,ไม่เยอะๆ,><',บายย,สงสารมือ 5555555555,ทำไมอ่า,อย่าพูด,แมพไปปะ,ขำอารายยย,ไม่ๆ,เหอะๆๆ,แปลงร่าง,-- ,จ้าาา,นอนไหน,คำโตมั้ย,อัลไล ,กี่คน,กุหวง,55+,มารยาท,ฝันดีงับ,เมมาดึก,,อาโหล,ถาดเดียว,ไม่เคยดูนิ 5555+,พน เจอกัน สัส,???,เด๋วเอาให้,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,เก็บง่ายย,อร่อยไหม,เค พอละ 555,โอ้ย เน็ต,ผช แก้,ไรอะ,,ยาวดลด,กลัวผี,นาที,ตื่นยาง,,..,ไฟท์โตะ!,2,0/,รับไง,อืมๆ,5.55556E+14,เีจ้า,โห้ววววว,มานอน 28,ทำไมอ่ออ,เึรนะ,กลับรถเม,เซงๆ เบื่อๆ,นาย,หะ555,พี่ฟิวคะ,โง่จิงๆ,ก้างฝุดคือ,โอเคร,คนเดวเองอ่อ,,^+++++++^,-.,-?,ตนเยอถมะ,ฝันดีพี่,ถ55555,ใจมากเพือน,ไมพี่,ไหนอ๊า,ของใค, = =,ววงมากๆอะ,เคๆ,อะเครรร,ตีเเบตป่าว,-0-???,ใช้ ไเ้ด่ แึค่,ไม่ได้ๆๆ,มีลิ้งไหม,อื้อฃ,กี่คนละ,มันแบ่ง,สบบายย,รายยย,เปนราย,นอนลั,เด้ะทุบ,ไม่รู้,ใจเยนดิ,,3,ทำได้นะ,555,เป็นหมด,5 5 5ใใ,แคลสิ -_-!!!,เห้ ,555+,ต่อปะ,จีๆ,อ่า,พี่ฟิว,ดอทป่าวๆ,เฮ้ออ,มาแล้วว,^++++^,เปล่าาาาา,อ่าไนห,--,หงื่ม,หือออ,ไม่ด้ายยย,ชอบๆ,เอิ่มม,ทำมาย,- -,5.55556E+12,ง่วงแล้ว,ง่อววว,7 มั้ง,ฮ่าๆๆ,แบะ,ทำไมม,เห้ย,อ่าฮะๆ,มิงไปยังนิ,อารัยย,โห....,อ็อ,มันสาสส,แอนนิเมชั่น,แง้งงง,เคยดู,กาก,จุ๊บ ๆ,,ฮิ,พี่เนีย ก้บอก,แถวบ้าน,เอี้ยมาก,ชื่อ,มีสี่คน,โถ่ววว,จริงง งงงงงง,เสดละ,ว่างหรอ,บายยย,เงียบ,พี่ฟิวบริดเมพ,ก่อนดิ,ช็อคจริง ,ง่ะ,แดกอยู่ฮ้ะ,ใช่ไหมอะ,โอ๊ะ,ยไหมคับ,โทรไป,เอ้าฟิว,เหยดดดดดดดดดดดดดดดดดดดดดดดดด -[]-,5555555555555+,ไหวมั้ยย,เล่นๆ,อืมม,คนเตม==,ไม่รีบ 555,เพราะดี,ออเดอะเวย์,55555,โทไปติด,อืืม,ดี,ไข้เหรอ,.,-_-,ทำไรร,จะเอาปะ,^^',กั๊บ,พ่อง,มอนิ่ง. 5555555,นี่ๆ,อาไรอ่า>.<,แปปนะพี่,พูดจริง555555,ขอบคุณนะ,ดีพี่ ฟิว,ไวๆ,แปบๆ ,จุ๊บๆฃ-3-,เหม่งงง,ฮาโหลววววววววว,เออ ยาก,หืออ,เอ้าาา,อ้อออ,แฮ่,ควาย,หรือลง,ไปแระนะฟิว,อ้อ,"- -""",ค่ะ,ไอฉาดดดดด,ใจมากๆๆ,แอ๊ 5555,ง่วงแล้ว = ช,55555555,ทำงานๆๆๆๆๆๆๆ,ง้าบบ,บ๊ายบายยย,ตกลง ?,นั่นแหละ,^_^ ,ง่วงสัส,กี่โมง,ทำงานๆ,ฟิววๆ,โหย,รายงานอะ,หมดแล้ว ,' '-?,โด่,ขอโทษทีนะ,โธ่55555555,ค้าา,==,เลิก,อ่าเครๆ,555555,พี่ค๊าบ,-+-,55..,แปลล,โหล,ยุหอ?,ช่าย,ไม่แน่ใจ,งง,นานไป,5.55556E+41,ปวด,ไหนอะ,ไม่เย็ด,ใช้เรียนอิ้ง 1,แปล,สมมมมมมม,แสบดี,จะมากี่โฒง,คัดจมูก,ไปนอนซะ,เหมือนกัน,เก่งอ่ะ,กุดไนท์,. . .,5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,อะไรคะ -0-,ก็ดี ๕๕๕๕๕,โด่ววว,ไรง่ะ,พี่ครัช,คนเยอะะ,ไม่มีเลย,เคๆๆ,ช่วงนี้นิ,เซง ตากแดด,ป้าวววว,น่าสงสาร,โน,เอเช,รถเมล์ไง,มา,ไลออน,ป่าววว,ฝันดีจ้าาาา,จ๊ะ,วันจันนี้,ขอบใจมากๆ,5.55556E+15,บ๊ายบาย,กวนตีน,สู้ๆเน้อ,ตังหมด,แนะนำไวๆ,พี่เฟรด,นิ้วคิงล็อค,ทำงานๆๆ,กุก้มั่ว,เฮ้ๆ คุนพี่ ,อื,เค,โวยวาย???,บ้าล้าว,งับ,ทำไมออะ5555,ใช่เลยยยย,ทำไมรึ ?,ไปก่อน,นอนยังง,555555555,0.0635,เซงอ่า,เพระาดีๆ,โสด 1 แทน,กุ 2.57 1.92 เหลือ 2.25,จ้าา,นอนละๆ  ^^,ตอบด้วย,เจ๋งปร้าา 555,มาละๆๆ,22+ เสะะะะะะะะะะ,ยังเลยยยยย,ไม่ใช่,ทัว14,ไม่ต้อง,ธรรมดา,,โทดที ฟิว,มาเเว้ววว,มาคับ,แปป,พ่อตื่น,ติวไหนๆ,รอลุ้นนนนๆๆๆ,ว่าจะ เบิ้ด,ออนสไกดิ,เซง,เบอนี้,มีมาม่าปะ,5 5 5 5,,เธออะ,ตาโดดจรูง55,เหลือตาก,ไอ่น้อง,^^,โย่วเย่,เช้า?,ซื้อและ ,มาละ,ตื่นแล้วเน้,-0-!?!??,นอนค่ะนอนนน,ชื่อเฟสง่ะ,งือออ,ทำไมมมมม,:'( ,ไอยะ!! -_-!!!,ฮ่าาาาา,*-*,-.,-,ขี้เกียจ,ซ้อม,,จะลอกอิ๊ง 55554,ออกแล้ว >,ครับผมๆ,กินแล้ว,แหม่,เคป้ะหละ,ดีละๆ ,เจ๋งไหม,โทษที,เมิ,ไม่นอนอ่อ,อาเมน,ไรเนี่ย,อ่าาห์,ยิงไหม,ฝันดี,งงเลย,เออดี,พี่ชื่อ??,7.9 อะเธอ,เง้อ,ไป ๆ ดูกัน,พร้อมยัง,ค้าฟฟฟ,โหว,ฟิววว,ไป รร มั้ย,อะไร,,โหดเว่อ,ป่าว,ทำไรอะ,เปนไรอะ,โหลๆ,เอกกี้ๆ,นางเอกสิ,ย่ะ,ไม่เจอ,ซีรีย์ช้ะ? ,ทำไรงั้บ,คอลเลยๆ,ไม่เป็นไรๆ,หะ,ไหน,วันที่13 ไง,ฟวย,เร็วๆ,บางที,คิด,นอนยังๆ,มีความสุข,ไลค์ทำไม,,วง,ไม่แปลก,เครร,อยู่ไหน,?????????,โอ๋ๆ,เก่าแล้ว?,ไอฟิวว ,ผีไงงง,นัทโหดจุงเบย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15000,นี่หล่ะ,ทำๆย,ง่วงจัง 555,น้าแกล้ง,ออ,อ้าววววววว,อะราย,อดดิ,ไปดิ,บายยยย,แฮร่,นอก,ง่าสสส,ีืคือแบบ,เอ้าจริง,ทำไรกัน,จริงๆๆ -0-!!!,ห่ะ,นั่นสิ,ทำไปๆ,โมโหมาก,ฟิวอ่ะ,ทำไม่ถูก,อย่า,เออฟิว,ยากกกด,อาหะๆ,พน,ทำหน้า,= =',ขอบใจมากๆๆ555,มาละ !,ไปนอนปายยยยย,ทำแมะ,เด่ะมาๆๆ 55555,ย,เข้าแล้ว,อ่ะ 555,ลืม,ชั้นจน,เธออะ??,ติดแย้วๆ,หนังงง,น่าๆๆ,น่านนน,เล่น ทัวเสีย,เอาไงละ,นอนๆ,งงราย,ถึงถาม,โห เจ๋ง,บิวไปเเระ,หนถกป่ะ,._.,บัตรแม่,น้องชาย,โอ้ๆๆ,ตื่นนนนน,--/,-3-!!!!,.___.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,มาจากไหน,0.0?,บอกมันๆ,ฮ่าๆ,อื้มมมมมมมมมมมม,หลาย,ปลอดภัย,นอนแล้ว,ตรงไหนนิ,ฝันดีค่ะ,,ตื่นยง,กำ,ไม่เอาๆๆ,จร้า,หมั่นไส้,ตอนกด,ยุไหน,เสดยัง,นี่ก็รอ,สอบ,น็อต วรุต,เค้กกกกกกก,บอกมาา,จุ้บ,ไม่ช่ายย,แสบตามาก,หิว......,มืงงะ,จิงๆๆ,ไม่รุ้อะ 55,งืมมๆ,55555555+,อ่าๆ,แนะนำๆ,เน่ คุนพี่,ฟิวสสส,ได้เซคไรร,แบร่ๆ,พลีสส,บอกไงดี?,อัพไร,ใจเย็น,จะไปติวอั้ม,ถึกสัสๆ,แงง,โอ้ย,เซ็ง,นุเเม่งลีลาหวะสัส,ขอแก้ตัว,นั่งเล่น 55555+,2 ครึ่ง*,ทำไงดี,อะไรร555,ก็ดัไงคะ,โม้สินะะ,พักเหอะ,-1,ธีรัช, - -?,มึนๆเบลอๆ,จะพิมราย,ไรไมรุ้,ญี่ปุ่น,`ฟิว,ไม่กล้าเม้น,.____.,ขำๆ,แง๊,จบ,ก้โอน้ะ,ยังไงดี,มาใหม่ๆ,เซ็กซี่,ใช่ซี้,นางว่างี้,~~~,ชวนๆ,เข้าๆ,อานะ,^คือรัย,โหลดละ ,ป่าวหรอก,ไรออะ,แก,มาละ 555,อ่อ,เคเจอกัน,มืงอะ,ขอโทดดด,ไปก้ได้*,แง้ววว,ฟิวววว,ตื่นสาย,10000 บาท เสีย 15 บาท,อวก,ฟิวๆๆ,ได้,45,ตลกแงะ,ใจแข็ง,งืมงำ,ทำไรทำไปป,5555+,กลับบ้างตะ,=_=,นอนละ,มาละนะ,ไม่เอาๆ,ป่าวฮ้ะ,หมดเลย,ขึ้นไหม,คือ,= =,อ่ออออ,โหลดหม่ายยยย,เอายัง,เข้าบ่ได้,555,จุ๋ย วรัทยา,5555555555,ว่างจรืงๆ,หด,อ่อออ,ไม่คุย,5555,เซ็งงงงง,ควยครีย,โอ๊ยเชี่ยยยยยยยยยยยยย,เมาป่ะ,เอ้า 555,"?ฎ""ฒฮธ",ใจเย็นนนน,เทอมนี้2.3,มาๆ,กินป่าวๆ,สมน้ำหน้า,ไปยัง,เอ๋าๆๆๆ,จะไปนอนล้ะ,55555555555+,พน ไม่มีเะ,อะไรบ้างง,2 อาทิตไง,ฟิวล่ะ,วรั้ย,มาดิ,ไม่มชาๆ,สามปี,ไม่พลาด,เลิกยังๆ,ขี้โม้ๆๆ, ^^,หืมมมม,- -'',ใช่ๆ,หลับต่อ,แหวกแนว555,งืมๆ,5555555+,มาละพี่,----,วันแรกช่ะ??,20ตัวไหม,ขอขนมหน่ิยย,หาตัง,-..,-,,เมษฒษฌฌ,ธ,กวนตีนนน,ราย,พิมผิด,แสดง,อ.เขาติสต์5555+,เพิ่งเสรจ,เคยค่ะ,งิงิ,อาราย,....,ซัก 5 แผ่น,'',อ่านๆๆๆๆๆ,หา,เอดิจิ,ไม่ดูละ :/,ง่า,ท้ายอะ,โปรเจ้ค,ค่าาา,เดะขอนน,เจ๊า,จิง,บาย จุ๊ฟๆ>3<,นี้ไง,^.<,5555 โอเคค,ลงไปเสริฟ,ได้ยินนะ,อย่าน้าา,เหรอออ,กำลังจะพิม,คับผมมม :),ล้อเล่นๆ,:( ,ทำไรๆ,คำนวณอะ,้อาควยไป,;),ดีหวะ,พูดเล่นน 5555+,ไม่เปนล้ะ 555,......,ทำไรอยุ,จริงๆ,จู้ๆงั้บ -3-,51แล้ว,กดล่ะนะ,5555555 รวม ๆ ,มันตอบ 2.83,เอาไงดี,สงสัยมาก,ใช่ดิ,ฮัลโหลล,ฮอนๆ,เเนลไรๆ,หวัดดีๆ,มิงโดน?,แพะ,ทำไมอ่อ,ดับเบิ้ล,อ๋ออออออออออออออออออออออออ,,แน่น๊อนนน,เครๆ,เปล่าๆ,ว่า,แงๆ,มาได้ละ,ไค รวย,พึ่งถึง,ดูรูปสิ,คนก่อน,ดำ จิก ใชปะ,ลงเจน 311,ไปดีกว่า,นดเดียวๆๆ,เก่งจัง,ไปเลย,ฮ้า,หรา,งงง,อ่อออออ,อร่อยยยยย,แต่งเพลง 555,5555,หลายเล่ม,เขายั,ขั้วโลก,ทำแพพ น้ะ,แน่,ฮ่า ๆ ๆ ,ทำอะไรรรร,นอนตุน,สัส,ทัว 20,เราเรียน 9.30-12.30,อืมมม,ลืมอะไรนิ -0-?!,จุ้บๆ,ซึ้งป้ะล่ะ 555,มุฟวี่ผะ,ตรง,เทอ,อ่ะะ,ผญ,งงพ่อง,ชิชะ!,อ่าเค,19 หน้า,555555555+,ฝันดีนะ,หิว,แหงะ,-3-,ดอทเปล่า,ถุ้ยทำเหี้ยไรสัส,เป่า,ผลพลอยได้  อิิอิ,หัวดินสอ,นอนค่ะนอนนนนน,คอมเชือน,ยิ้มอ่อน,ขกละ555,เค้าพูดเงี่ย 55,เออจ้าาาา,ไม่รุหรอก,นี้,ใจเยๆ,โด่ๆ555,ฟิวอะ,เศร้า,ทำไม 5555,แอ๊บๆ,เก่งไหม,ยาวเลยย 5555+,แปปนะ ,ใจเยนพ่อ,คำตอบ,เทอมหน้า,เล่นยุป่ว,ไหม*,,ม่ายยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยย,เราเปนคนไหย,คลื่นไส้,,ไปละ บาย,ก็บอกแล้,รอแปป,แปลว่า?,251 5555,,มึงอ่า,โว้ววว,ไปอาบน้ำ,พน ยอ,แกโหลด,นี่,เสียใจจ,ยุไหนวะ,อะระค่าาา,' ',สะสมไลค์เรอะ ,ไม่โหล่ๆๆ,,เดี๋ยวๆๆๆ,เอาไง ฟิว,ไม่มีตัง,ไม่นี่,อยู่ไหนกน,นอนดีก่าา บั๊ย ,คับบบ,โชคดีๆๆ,ถึงแล้วๆๆ,กินโด้ยยยยยยยยย,อารัย,อดไป,สบาย,5ปีอ่ะ,15660
ก.|จำ|ละ,555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ก็|กลับกัน|หมด,ห้ะ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ก็|กว่า|เป็น|อะไร|ไม่|ไป,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
